394,Political Intervention through the Arts,How does thinking like an artist ignite political change? Art is the intentional disruption of existing perceptions,"3,500"
395,Introduction to Biomedical Ethics,This course introduces the basic concepts and theories of ethics and applies them to some of the most widely discussed issues of...,"3,500"
396,Principles of Genetics,This course focuses on transmission and molecular genetics,"3,500"
397,"Darwin, Evolution, and Society in the Nineteenth and Twentieth Centuries",This course traces the development of evolutionary theory—with a particular emphasis on Darwinism—as a major transformation in...,"3,500"
398,Foundations of Data Science and Engineering,Most data scientists spend 20 percent of their time building data models and analyzing model results,"2,980"
399,"Hedge Funds: History, Strategies, and Practice","While beating the markets was long thought to be impossible, hedge funds have seemingly challenged many financial theories,...","3,500"
400,Elements of Data Science and Statistical Learning with R,"One of the broad goals of data science is examining raw data with the purpose of identifying their structure and trends, and...","3,500"
401,Religion in American Media and Pop Culture,"This course introduces students to religion, media, and American popular culture","3,500"
402,Plotting Resistance in Fiction and Film: The Haiti-Cuba-Harlem Nexus,"This course examines fiction and film from Haiti, Cuba, and Harlem in the first half of the twentieth century, when authors...","3,500"
403,Ballots and Bibles: Why and How Americans Bring Scriptures into Their Politics,"In 2018, the US attorney general used a scriptural passage to defend tougher implementation of immigration laws","3,500"
404,"Water, Health, and Sustainable Development","According to Fortune, ""water promises to be to the twenty-first century what oil was to the twentieth century: the precious...","3,500"
405,"Our Selfies, Ourselves: A Cultural History of Self-Representation","Selfies, like smartphones, are everywhere","3,500"
406,"The Psychology of Emotional, Behavioral, and Motivational Self-Regulation","This course covers cutting-edge research on how people acquire self-regulatory skills to bolster their willpower, enabling them...","3,500"
407,Advice to Young Leaders,This reading and discussion seminar focuses on texts in the western tradition written for young people in their teens and early...,"3,500"
408,Essentials of Management,This course introduces the important aspects of managing a business in a global environment,"3,500"
409,Advanced French: The Contemporary Francophone World through Cinema,"This advanced French language and culture course explores Francophone cultures through contemporary films to build interpretive,...","3,500"
410,Elementary Modern Chinese I,"This course is an introduction to basic Chinese grammar, vocabulary, usage, and the writing system for students with little or no...","3,500"
411,Globalization and Global Justice,This course provides an opportunity to discuss diverse theories of globalization and global justice via perspectives from...,"3,500"
412,News Reporting and Writing,"In this changing media landscape, a journalist has no choice but to become a jack of all trades and to develop the ability to...","2,980"
